user,gender,fb_friend_count,sender_count,recipient_count,caller_count,callee_count
0,0,19.0,62.0,74.0,3.0,6.0
1,-1,6.0,2.0,1.0,0.0,0.0
2,0,7.0,0.0,0.0,0.0,0.0
3,0,18.0,147.0,147.0,11.0,10.0
4,0,30.0,82.0,69.0,24.0,20.0
5,0,26.0,21.0,18.0,1.0,5.0
6,1,18.0,46.0,34.0,11.0,6.0
7,1,6.0,0.0,0.0,1.0,0.0
8,0,6.0,13.0,17.0,7.0,8.0
9,0,2.0,1.0,0.0,0.0,0.0
10,0,8.0,0.0,0.0,0.0,0.0
11,0,9.0,1.0,1.0,0.0,1.0
12,0,21.0,68.0,73.0,13.0,9.0
13,0,78.0,68.0,64.0,21.0,21.0
14,0,0.0,15.0,12.0,1.0,0.0
15,0,62.0,15.0,19.0,10.0,10.0
16,0,7.0,0.0,0.0,2.0,0.0
17,0,11.0,0.0,0.0,1.0,1.0
18,0,9.0,59.0,58.0,0.0,0.0
19,0,10.0,17.0,8.0,17.0,12.0
20,0,0.0,313.0,496.0,20.0,68.0
21,1,0.0,486.0,302.0,68.0,19.0
22,0,13.0,5.0,4.0,3.0,5.0
23,0,8.0,44.0,38.0,8.0,1.0
24,0,0.0,9.0,8.0,2.0,1.0
25,0,12.0,11.0,16.0,3.0,3.0
26,-1,3.0,3.0,4.0,0.0,0.0
27,0,21.0,48.0,55.0,6.0,6.0
28,0,14.0,7.0,8.0,3.0,7.0
29,0,30.0,2.0,1.0,0.0,0.0
30,0,24.0,0.0,0.0,0.0,0.0
31,-1,10.0,11.0,7.0,0.0,3.0
32,1,11.0,0.0,0.0,0.0,0.0
33,0,25.0,52.0,57.0,5.0,6.0
34,0,8.0,0.0,0.0,0.0,0.0
35,0,3.0,8.0,8.0,0.0,1.0
36,1,33.0,215.0,187.0,24.0,26.0
37,0,39.0,120.0,150.0,51.0,23.0
38,0,32.0,0.0,0.0,1.0,0.0
39,0,33.0,85.0,70.0,28.0,21.0
